Price,Adj Close,Close,High,Low,Open,Volume,MA5,MA10,Label
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,,
2024-09-30 00:00:00+00:00,233.0,233.0,233.0,229.64999389648438,230.0399932861328,54541900,228.40999755859374,226.30699768066407,1
2024-10-01 00:00:00+00:00,226.2100067138672,226.2100067138672,229.64999389648438,223.74000549316406,229.52000427246094,63285000,228.1779998779297,227.2489990234375,1
2024-10-02 00:00:00+00:00,226.77999877929688,226.77999877929688,227.3699951171875,223.02000427246094,225.88999938964844,32880600,228.26000061035157,227.85799865722657,1
2024-10-03 00:00:00+00:00,225.6699981689453,225.6699981689453,226.80999755859375,223.32000732421875,225.13999938964844,34044200,227.88999938964844,227.53799896240236,1
2024-10-04 00:00:00+00:00,226.8000030517578,226.8000030517578,228.0,224.1300048828125,227.89999389648438,37245100,227.69200134277344,227.39799957275392,1
2024-10-07 00:00:00+00:00,221.69000244140625,221.69000244140625,225.69000244140625,221.3300018310547,224.5,39505400,225.43000183105468,226.9199996948242,0
2024-10-08 00:00:00+00:00,225.77000427246094,225.77000427246094,225.97999572753906,223.25,224.3000030517578,31855700,225.34200134277344,226.76000061035157,0
2024-10-09 00:00:00+00:00,229.5399932861328,229.5399932861328,229.75,224.8300018310547,225.22999572753906,33591100,225.8940002441406,227.0770004272461,0
2024-10-10 00:00:00+00:00,229.0399932861328,229.0399932861328,229.5,227.1699981689453,227.77999877929688,28183500,226.56799926757813,227.22899932861327,0
2024-10-11 00:00:00+00:00,227.5500030517578,227.5500030517578,229.41000366210938,227.33999633789062,229.3000030517578,31759200,226.71799926757814,227.2050003051758,0
2024-10-14 00:00:00+00:00,231.3000030517578,231.3000030517578,231.72999572753906,228.60000610351562,228.6999969482422,39882100,228.63999938964844,227.03500061035157,1
2024-10-15 00:00:00+00:00,233.85000610351562,233.85000610351562,237.49000549316406,232.3699951171875,233.61000061035156,64751400,230.25599975585936,227.79900054931642,1
2024-10-16 00:00:00+00:00,231.77999877929688,231.77999877929688,232.1199951171875,229.83999633789062,231.60000610351562,34082200,230.7040008544922,228.29900054931642,1
2024-10-17 00:00:00+00:00,232.14999389648438,232.14999389648438,233.85000610351562,230.52000427246094,233.42999267578125,32993800,231.3260009765625,228.9470001220703,1
2024-10-18 00:00:00+00:00,235.0,235.0,236.17999267578125,234.00999450683594,236.17999267578125,46431500,232.81600036621094,229.76699981689453,1
2024-10-21 00:00:00+00:00,236.47999572753906,236.47999572753906,236.85000610351562,234.4499969482422,234.4499969482422,36254500,233.85199890136718,231.24599914550782,1
2024-10-22 00:00:00+00:00,235.86000061035156,235.86000061035156,236.22000122070312,232.60000610351562,233.88999938964844,38846600,234.25399780273438,232.25499877929687,1
2024-10-23 00:00:00+00:00,230.75999450683594,230.75999450683594,235.13999938964844,227.75999450683594,234.0800018310547,52287000,234.04999694824218,232.3769989013672,1
2024-10-24 00:00:00+00:00,230.57000732421875,230.57000732421875,230.82000732421875,228.41000366210938,229.97999572753906,31109500,233.73399963378907,232.53000030517578,1
2024-10-25 00:00:00+00:00,231.41000366210938,231.41000366210938,233.22000122070312,229.57000732421875,229.74000549316406,38802300,233.01600036621093,232.91600036621094,1
2024-10-28 00:00:00+00:00,233.39999389648438,233.39999389648438,234.72999572753906,232.5500030517578,233.32000732421875,36087100,232.4,233.1259994506836,0
2024-10-29 00:00:00+00:00,233.6699981689453,233.6699981689453,234.3300018310547,232.32000732421875,233.10000610351562,35332800,231.96199951171874,233.10799865722657,0
